event,window,tenor,spec,estimate,se,ci_low,ci_high,N
2020-04-01,20,2,TOTAL,,,,,0
2020-04-01,20,2,DIRECT,,,,,0
2020-04-01,20,5,TOTAL,,,,,0
2020-04-01,20,5,DIRECT,,,,,0
2020-04-01,20,10,TOTAL,,,,,0
2020-04-01,20,10,DIRECT,,,,,0
2020-04-01,20,20,TOTAL,,,,,0
2020-04-01,20,20,DIRECT,,,,,0
2020-04-01,60,2,TOTAL,,,,,2
2020-04-01,60,2,DIRECT,,,,,2
2020-04-01,60,5,TOTAL,,,,,2
2020-04-01,60,5,DIRECT,,,,,2
2020-04-01,60,10,TOTAL,,,,,2
2020-04-01,60,10,DIRECT,,,,,2
2020-04-01,60,20,TOTAL,,,,,2
2020-04-01,60,20,DIRECT,,,,,2
2021-03-19,20,2,TOTAL,,,,,0
2021-03-19,20,2,DIRECT,,,,,0
2021-03-19,20,5,TOTAL,,,,,0
2021-03-19,20,5,DIRECT,,,,,0
2021-03-19,20,10,TOTAL,,,,,0
2021-03-19,20,10,DIRECT,,,,,0
2021-03-19,20,20,TOTAL,,,,,0
2021-03-19,20,20,DIRECT,,,,,0
2021-03-19,60,2,TOTAL,,,,,2
2021-03-19,60,2,DIRECT,,,,,2
2021-03-19,60,5,TOTAL,,,,,2
2021-03-19,60,5,DIRECT,,,,,2
2021-03-19,60,10,TOTAL,,,,,2
2021-03-19,60,10,DIRECT,,,,,2
2021-03-19,60,20,TOTAL,,,,,2
2021-03-19,60,20,DIRECT,,,,,2
2021-03-31,20,2,TOTAL,,,,,0
2021-03-31,20,2,DIRECT,,,,,0
2021-03-31,20,5,TOTAL,,,,,0
2021-03-31,20,5,DIRECT,,,,,0
2021-03-31,20,10,TOTAL,,,,,0
2021-03-31,20,10,DIRECT,,,,,0
2021-03-31,20,20,TOTAL,,,,,0
2021-03-31,20,20,DIRECT,,,,,0
2021-03-31,60,2,TOTAL,,,,,2
2021-03-31,60,2,DIRECT,,,,,2
2021-03-31,60,5,TOTAL,,,,,2
2021-03-31,60,5,DIRECT,,,,,2
2021-03-31,60,10,TOTAL,,,,,2
2021-03-31,60,10,DIRECT,,,,,2
2021-03-31,60,20,TOTAL,,,,,2
2021-03-31,60,20,DIRECT,,,,,2
