strategy,tenor,regime,N_days,mean_W,median_W,p5_W,p95_W,mean_absW,share_absW_le_5,share_absW_le_10
cip,3m,post,197,11.962835848194372,10.599865244718124,7.207528587407677,18.94568543280888,11.96539039990384,0.04568527918781726,0.27918781725888325
cip,3m,post,197,13.503809822778928,11.32651809289758,5.534848225707216,26.28738875399035,13.503809822778928,0.015228426395939087,0.4263959390862944
cip,3m,post,197,19.029942066877336,15.480526042994892,8.572780724818843,37.660163731311556,19.029942066877336,0.0,0.116751269035533
cip,3m,post,196,23.041616037773093,17.448090369995622,13.996411787279275,41.51635595340369,23.041616037773093,0.0,0.0
cip,3m,post,196,10.09264181842794,5.26091693376819,0.7045253164138428,28.834043345666046,10.104556877675188,0.4897959183673469,0.6683673469387755
cip,3m,post,196,24.04692795877813,20.13491288203312,15.963218647281739,39.93740714442758,24.04692795877813,0.0,0.0
cip,3m,post,197,9.287437076225725,8.169932005265615,2.5405886268161364,18.34959640186163,9.287437076225725,0.2182741116751269,0.6192893401015228
cip,3m,post,197,26.428463353543293,18.69682280159906,12.913387575455982,61.755507484729065,26.428463353543293,0.0,0.0
cip,3m,pre,326,-11.471222001242866,-8.373385723294824,-40.52596875273212,10.931449686490632,15.215450595784333,0.2392638036809816,0.48773006134969327
cip,3m,pre,326,28.19330563070178,25.256924187518642,13.320253626955871,46.314747269686855,28.19330563070178,0.0,0.006134969325153374
cip,3m,pre,326,43.38366242755979,37.76832462142596,19.069599203644827,82.05752360315324,43.38366242755979,0.0,0.0
cip,3m,pre,326,40.56143870157273,35.86043524911301,19.046945405846444,70.99556948345837,40.56143870157273,0.0,0.0
cip,3m,pre,326,23.182119647508845,19.78269973652826,8.648063190405146,46.12169073798578,23.182119647508845,0.0,0.09202453987730061
cip,3m,pre,326,60.039967364104385,50.02199635227433,35.4488540699347,102.61918876565659,60.039967364104385,0.0,0.0
cip,3m,pre,326,-6.965914324996481,-4.794244123354254,-21.33549058949402,3.5384920448254618,7.88877582635727,0.49079754601226994,0.7730061349693251
cip,3m,pre,326,30.08556660639097,25.16653224579531,11.39677581219932,62.92154688119797,30.08556660639097,0.0,0.02147239263803681
cip,3m,relief,261,16.108849329789667,14.641961728797083,7.71504687335536,30.817532248802483,16.108849329789667,0.007662835249042145,0.13409961685823754
cip,3m,relief,261,26.597834180965513,24.902843676793907,16.76642223328888,44.63469860212087,26.597834180965513,0.0,0.0
cip,3m,relief,261,29.791243314556738,26.778966924829675,18.956587418191567,48.37106140711244,29.791243314556738,0.0,0.0
cip,3m,relief,261,29.347715664565783,26.271919661356065,21.3255704623313,46.62990745017425,29.347715664565783,0.0,0.0
cip,3m,relief,261,19.391577143253073,17.577593824714082,9.987149976515084,34.01540411567195,19.391577143253073,0.0,0.05363984674329502
cip,3m,relief,261,40.76771412172668,38.80201465923848,25.91585583849723,68.77839163401755,40.76771412172668,0.0,0.0
cip,3m,relief,261,10.101933510837046,11.57858974288994,-14.93663321858005,29.522392574922936,13.790086958689376,0.13409961685823754,0.3371647509578544
cip,3m,relief,261,31.722599641149554,29.31730843546839,20.968233916969822,52.73589218104374,31.722599641149554,0.0,0.0
