event_date,tenor,series,window,spec,estimate,se,bootstrap_se,ci_low,ci_high,n
2020-04-01,2y,wedge,3,total,,,,,,4
2020-04-01,2y,wedge,3,direct,,,,,,4
2020-04-01,2y,wedge,5,total,,,,,,5
2020-04-01,2y,wedge,5,direct,,,,,,5
2020-04-01,2y,wedge,10,total,,,,,,7
2020-04-01,2y,wedge,10,direct,,,,,,7
2021-03-19,2y,wedge,3,total,,,,,,0
2021-03-19,2y,wedge,3,direct,,,,,,0
2021-03-19,2y,wedge,5,total,,,,,,0
2021-03-19,2y,wedge,5,direct,,,,,,0
2021-03-19,2y,wedge,10,total,,,,,,0
2021-03-19,2y,wedge,10,direct,,,,,,0
2021-03-31,2y,wedge,3,total,,,,,,0
2021-03-31,2y,wedge,3,direct,,,,,,0
2021-03-31,2y,wedge,5,total,,,,,,0
2021-03-31,2y,wedge,5,direct,,,,,,0
2021-03-31,2y,wedge,10,total,,,,,,0
2021-03-31,2y,wedge,10,direct,,,,,,0
