strategy,term,coef,se,N
tips_treas,const,0.1717457197132184,0.3909636236877777,156
tips_treas,relief,-3.6864900361025796,1.7023945831989715,156
tips_treas,relief_x_exempt,-2.9336945922057884,1.9522617442838122,156
tips_treas,relief_x_util,-2.5056375058049394,0.7447911952193009,156
tips_treas,d_VIX,-0.168745951792709,0.05425072448017258,156
tips_treas,d_HY_OAS,-0.24101178106374171,1.1008689413364503,156
tips_treas,d_BAA10Y,1.0825625497159823,3.467860235806134,156
tips_treas,d_issu_7_bil,2.18484568657817e-18,6.280594357170408e-16,156
tips_treas,d_issu_14_bil,-0.019430853246456693,0.01449844568368081,156
tips_treas,d_issu_30_bil,-0.013531036769475247,0.02407506753778194,156
tips_treas,d_SOFR,0.41397174647854207,0.23120655647489866,156
tips_treas,d_spr_tgcr,-0.008102846443351557,0.007697237292644527,156
